en	zh
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
AIR SPRING eight seven one five standby call YOU	春秋航空 八拐幺五 待命 联系你
MIKE five holding short of DELTA CHINA EASTERN five five one five	MIKE 五 等待 DELTA 东航 五五幺五
runway three six right clear to land AIR JUNEYAO one two one zero	跑道 三六 右 清晰着陆 吉祥航空 幺两幺洞
KOREAN AIR eight six two H four hold short of runway	韩亚航空 八六两 H 四 等待跑道
pushback start up approved runway three six left HAINAN seven six zero six	推回和启动获批 跑道三六左转 海南 拐六洞六
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
ground CATHAY three seven seven bay five nine	地面 国泰 三拐拐 停机位 五九
one two one decimal nine seven five EVA seven two one one	幺两幺点九拐五 EVA 拐两幺幺
STAR	STAR
report tug ready CHINA EASTERN five one two one	报告 拖车准备 东航 五幺两幺
CHINA SOUTHERN good day	南方航空 日安
two one decimal nine CHINA EASTERN five one one five good day	幺两幺点九 东航 五幺幺五 日安
apron CHINA EASTERN five one one five request taxi	机坪 东航 五幺幺五 请求滑行
<FIVE>	<FIVE>
BIG BIRD one seven	BIG BIRD 幺拐
AIR SPRING eight five	春秋航空 八五
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
four contact tower one one eight decimal one good day one one eight decimal one good day	四 联系塔台 幺幺八点幺 日安 幺幺八点幺 日安
land	着陆
CHINA EASTERN five one two one DELTA hold short DELTA one six	东航 五幺两幺 DELTA 等待 DELTA 幺六
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
AIR JUNEYAO one two one seven turn left vacate taxi via BRAVO hold short HOTEL two	吉祥航空 幺两幺拐 左转 滑行通过 BRAVO 等待 HOTEL 两
zero six	零六
ALL NIPPON two four contact SHANGHAI control	全日空 两四 联系上海控制
LIMA one five stand three one six CATHAY three two five	LIMA 幺五 停机位 三幺六 国泰航空 三两五
<FIVE>	<FIVE>
<FOUR-HUNDRED>	<FOUR-HUNDRED>
CARGO four one two five go ahead	货运 四幺两五 请讲
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
er confirm sorry we long time is BAUHINIA two three seven	确认 抱歉 我们等待很久 BAUHINIA 两三拐
DRAGON nine five zero contact QINGDAO	龙 九五洞 联系青岛
roger AIR JUNEYAO one one zero six	收到 吉祥航空 幺幺洞六
turn left join BRAVO ASIANA three two five	向左转 加入 BRAVO 亚航 三两五
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
ground good evening KOREAN AIR eight six four nine on L zero one hold short of	地面 晚安 韩亚航空 八六四九 在 L 洞幺 等待
AIR JUNEYAO one two zero nine apron morning change frequency	吉祥航空 幺两洞九 机坪 早上更改频率
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
JUNEYAO one seven zero nine	吉祥航空 幺拐洞九
heading	航向
NAV	导航
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
nine hundred meters number one H four hold short of runway three six right ALL NIPPON nine two seven four	九洞洞 米 第 幺 个 H 四 等待跑道 三六 右 全日空 九两拐四
four four zero	四四洞
AIR JUNEYAO one two zero nine thanks sir	吉祥航空 幺两洞九 谢谢您
AIR JUNEYAO one two zero nine report tug ready	东航 幺两洞九 报告 拖车准备
five three zero eight FOXTROT	五三洞八 FOXTROT
tower good evening AIR JUNEYAO one two one zero localizer runway three six right	塔台 晚安 吉祥航空 幺两幺洞 ILS 跑道 三六 右
er roger standing by GOLF ALPHA one two five	收到 待命 GOLF ALPHA 幺两五
apron good day NEW ZEALAND two eight eight heavy ready bay sixty nine	机坪 日安 新西兰航空 两八八 重型 停机位 六九 准备好了
contact tower one one eight decimal one	联系塔台 幺幺八点幺
<ENGINE>	<ENGINE>
one two one decimal nine seven five good day AIR SPRING eight seven one	幺两幺点九拐五 日安 春秋航空 八拐幺
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
<FIVE>	<FIVE>
er stand one six seven AIR SPRING six four five one	确认停机位 幺六拐 春秋航空 六四五幺
clear to hold short runway three six left CHINA EASTERN five one six two	等待跑道 三六 左 东航 五幺六两
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
HOTEL seven hold short runway three six left AIR JUNEYAO one two one	HOTEL 拐 等待跑道 三六 左 吉祥航空 幺两幺
one two one decimal nine CHINA EASTERN five three five three good day	幺两幺点九 日安 东航 五三五三
one zero one zero continue approach three six right JAPAN AIR eight one	幺洞幺洞 继续接近 跑道 三六 右 日本航空 八幺
standard	标准
EMIRATES nine eight seven five one two one decimal six	阿联酋航空 九八拐五 联系机坪 幺两幺点六
D H hold short of runway	D H 等待跑道
CHINA EASTERN five one four four wind three six zero degrees nine meters per second runway three six right clear to land	东航 五幺四四 风速 三六洞° 每秒 九 米 跑道 三六 右 清晰着陆
er hello apron SHANGHAI AIR eight zero five how how how much longer we have to wait	你好 机坪 上海航空 八洞五 还要等多久
ROMEO LIMA ALPHA seven five zero one surface wind zero two zero degrees at one one meter per second runway three six right clear to land	罗密欧 利马 阿尔法 拐五洞幺 表面风速 两洞° 每秒 幺幺 米 跑道 三六 右 清晰着陆
<ONE-HUNDRED>	<ONE-HUNDRED>
D H hold short of runway	D H 等待跑道
LUFTHANSA seven two nine one two one nine seven five	汉莎航空 拐两九 联系 幺两幺点九拐五
apron CHINA EASTERN five three five three request taxi	机坪 东航 五三五三 请求滑行
<MINIMUM-MINIMUMS>	<MINIMUM-MINIMUMS>
er BAUHINIA two three seven any up bay face	确认 BAUHINIA 两三拐 有可用停机位吗
standing by PHILIPPINE three three nine	待命 菲律宾航空 三三九
land	着陆
ramp control EVA seven one one parking gate eighty five request start and pushback	机坪控制 EVA 拐幺幺 停机位 八五 请求启动和推回
zero contact approach one two six	零 联系进近 幺两六
CHINA EASTERN five one two three roger due to traffic inbound standby	东航 五幺两三 收到 由于流量到达 待命
apron good morning INDONESIA eight nine five	机坪 早上好 印尼航空 八九五
contact ground one two one nine five	联系地面 幺两幺点九五
NAV	导航
zero one one	洞洞幺
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
HONGQIAO tower good evening AIR SPRING eight eight five six localizer runway three six right	虹桥塔台 晚安 春秋航空 八八五六 ILS 跑道 三六 右
<FOUR-HUNDRED>	<FOUR-HUNDRED>
standby AIR JUNEYAO one two one one	待命 东航 幺两幺幺
descend five DRAGON eight four	下降 五 DRAGON 八四
one one eight decimal six five good day	幺幺八点六五 日安
AIR JUNEYAO one	东航 幺
check	检查
two six miles right	两六 英里 右
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
five one zero seven DELTA hold short of DELTA one six	五幺洞拐 DELTA 等待 DELTA 幺六
<THIRTY>	<THIRTY>
roger AIR JUNEYAO one one zero six	收到 吉祥航空 幺幺洞六
clear for take off runway three six left EVA seven seven one	跑道 三六 左 清晰起飞 EVA 拐拐幺
ZULU three ZULU hold short four hold short ZULU three BRAVO	ZULU 三 等待 ZULU 三 BRAVO
left turn vacate runway BRAVO hold short HOTEL two AIR JUNEYAO one two one zero	左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺洞
apron AIR JUNEYAO one eight eight one taxi DELTA hold short DELTA one four	机坪 东航 幺八八幺 滑行 DELTA 等待 DELTA 幺四
CAPITAL JET five zero two	首都航空 五洞两
runway three six right clear to land AIR JUNEYAO one one zero six	跑道 三六 右 清晰着陆 吉祥航空 幺幺洞六
SINGAPORE eight three one contact ground one two one decimal seven	新加坡航空 八三幺 联系地面 幺两幺点拐
runway track	跑道
NAV	导航
landing	着陆
CHINA EASTERN five one six two contact ground one two one decimal nine	东航 五幺六两 联系地面 幺两幺点九
<ENGINE>	<ENGINE>
pushback and start up approved runway two nine	推回和启动获批 跑道 两九
KOREAN AIR eight nine eight	韩亚航空 八九八
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
roger HAINAN seven six zero six	收到 海南 拐六洞六
stand by JEJU AIR four zero one	等待 JEJU AIR 四洞幺
check	检查
SCOOTER one zero six	SCOOTER 幺洞六
contact tower one one eight decimal one good day one one eight decimal one CHINA EASTERN two six nine	联系塔台 幺幺八点幺 日安 幺幺八点幺 东航 两六九
affirm	确认
check	检查
apron THAI six six three request expect pushback out	机坪 泰航 六六三 请求预测推回
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
CATHAY three four nine turn left join BRAVO hold short of HOTEL six	国泰航空 三四九 左转 加入 BRAVO 等待 HOTEL 六
JUNEYAO one zero one two	吉祥航空 幺洞幺两
VIETNAM five two three apron STAY with	越南航空 五两三 机坪 待命
<FIVE>	<FIVE>
MALAYSIA three eight nine ready at bay one five zero request push and	马来西亚航空 三八九 停机位 幺五洞 请求推回和启动
<ENGINE>	<ENGINE>
<FIVE>	<FIVE>
CHINA EASTERN five five one five five minutes	东航 五五幺五 五分钟
apron good morning AIR JUNEYAO one two zero nine stand two two one we are ready	机坪 早上好 吉祥航空 幺两洞九 停机位 两两幺 我们准备好了
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
heading	航向
ASIANA three six eight apron taxi via TANGO four hold short of ECHO	亚航 三六八 停机坪 通过 TANGO 四 等待 ECHO
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
JUNEYAO one seven zero nine	吉祥航空 幺拐洞九
NAV	导航
tower good evening CHINA EASTERN five one four four final	塔台 晚安 东航 五幺四四 最终接近
<TWO-THOUSAND-FIVE-HUNDRED>	<TWO-THOUSAND-FIVE-HUNDRED>
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
CHINA EASTERN five four three taxi via MIKE two hold short DELTA	东航 五四三 滑行经过 MIKE 两 等待 DELTA
CHINA SOUTHERN three one nine zero good day	南方航空 三幺九洞 日安
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
apron ASIANA three six two request pushback and start up gate eight nine	亚航 三六两 请求推回和启动 停机位 八九
approach runway	接近跑道
four one zero	四幺洞
CHINA EASTERN five five one five delivery one two one decimal seven five	东航 五五幺五 调度 幺两幺点拐五
one zero one three continue approach three six right JAPAN AIR eight one	幺洞幺三 继续接近 跑道 三六 右 日本航空 八幺
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
land	着陆
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
yes sir for our point do YOU have the S	是的先生 关于我们的点 你有 S 吗
one one one six taxi via taxi via route NORTH	幺幺幺六 滑行 通过 北部路线
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
STAR	STAR
UNITED eight five eight apron STAY with me	联合航空 八五八 机坪 待命
<FORTY>	<FORTY>
CHINA EASTERN five nine one BRAVO four hold short BRAVO	东航 五九幺 BRAVO 四 等待 BRAVO
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
DELTA eight DELTA DELTA DELTA bye bye	DELTA 八 再见
ground CARGO one two five	地面 货运 幺两五
AIR SPRING eight five	春秋航空 八五
AIR SPRING eight five nine zero turn left turn left taxi via BRAVO hold short HOTEL six	春秋航空 八五九洞 向左转 滑行 通过 BRAVO 等待 HOTEL 六
LUFTHANSA seven two nine	汉莎航空 拐两九
STAR	STAR
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
line up and wait runway three six left ALL NIPPON nine seven zero	排队等候跑道 三六 左 全日空 九拐洞
CHINA EASTERN five zero two seven contact approach runway	东航 五洞两拐 联系进近 跑道
check	检查
NAV	导航
check	检查
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
one two one decimal nine CHINA EASTERN five three three five good day	幺两幺点九 日安 东航 五三三五
ground CATHAY three six seven er bay six three ready	地面 国泰航空 三六拐 停机位 六三 准备好了
land	着陆
<FOUR-HUNDRED>	<FOUR-HUNDRED>
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
one eight K	幺八 K
AIR BUSAN three two two	釜山航空 三两两
er yes sir I will report in position now we are approaching now	是的先生 我将报告位置 现在我们正在接近
er just confirm departure	确认出发
<ENGINE>	<ENGINE>
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
land	着陆
NAV	导航
CHINA EASTERN five one one nine contact ground one two one decimal nine good day	东航 五幺幺九 联系地面 幺两幺点九 日安
CHINA SOUTHERN good day	南方航空 日安
NAV	导航
understand CATHAY three six five thanks	明白 国泰 三六五 谢谢
check	检查
land	着陆
one one nine decimal	幺幺九点
<FOUR-HUNDRED>	<FOUR-HUNDRED>
KLM eight nine six contact apron one two one decimal six	荷兰皇家航空 八九六 联系机坪 幺两幺点六
zero six	零六
zero six	零六
<ENGINE>	<ENGINE>
er now er AREA on time er expect er er no er no short I will call YOU	现在在区域内 按时 预计不会短暂 我会联系你
affirm we can accept departure NEW ZEALAND two eight	确认 我们可以接受起飞 新西兰 两八
CHINA EASTERN five one four four apron taxi via DELTA parking bay two six five	东航 五幺四四 机坪 滑行经过 DELTA 停机位 两六五
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
SCOOTER one eight six	SCOOTER 幺八六
<FOUR-HUNDRED>	<FOUR-HUNDRED>
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
<FOUR-HUNDRED>	<FOUR-HUNDRED>
NAV	导航
taxi via route NORTH hold short of DELTA CHINA EASTERN five one four four	通过 NORTH 等待 DELTA 东航 五幺四四
CHINA EASTERN five three zero eight HONGQIAO tower taxi via HOTEL two hold short of runway three left due to traffic	东航 五三洞八 虹桥塔台 通过 HOTEL 两 等待跑道 三 左 由于交通
er ASIANA three six six can YOU accept for take off	亚航 三六六 你能接受起飞吗
CAT one	CAT 幺
say again	请再说一遍
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
H D one six nine	H D 幺六九
ground go ahead	地面 请讲
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
runway track	跑道
BIG BIRD eight eight five taxi via ECHO	BIG BIRD 八八五 通过 ECHO 滑行
land	着陆
H seven hold short runway three six left CHINA EASTERN five one one three	H 拐 等待跑道 三六 左 东航 五幺幺三
<FOUR-HUNDRED>	<FOUR-HUNDRED>
climb	爬升
land	着陆
er BAUHINIA BAUHINIA two three seven any up bay for the delay please	确认 BAUHINIA 两三拐 延误请提供可用停机位
seven zero seven two tower B taxi	拐洞拐两 塔台 B 滑行
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
check	检查
two zero zero	两洞洞
apron CHINA EASTERN five one one one tug is ready	机坪 东航 五幺幺幺 拖车准备好了
AIR JUNEYAO one one zero six about one minute or proceeding aircraft airbus three two zero er make the approach due wind SHEAR on final approach with caution	吉祥航空 幺幺洞六 大约一分钟 或者正在接近的空客 三两洞 请小心风切变
nine hundred meters on standard	九洞洞 米 标准
CHINA EASTERN five one four four wind three six zero degrees nine meters per second runway three six right clear to land	东航 五幺四四 风速 三六洞° 每秒 九 米 跑道 三六 右 清晰着陆
NAV	导航
NAV	导航
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
GUANGZHOU tower good evening AIR JUNEYAO one two one two established localizer runway three six right	广州塔 晚安 吉祥航空 幺两幺两 确立 ILS 跑道 三六 右
CHINA EASTERN five one one one report tug ready	东航 五幺幺幺 报告 拖车准备
AIR JUNEYAO one two one zero surface wind three five zero degrees one zero meters per second runway three six right clear to land	吉祥航空 幺两幺洞 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
CHINA EASTERN five one six three taxi via MIKE two DELTA hold short of DELTA one six	东航 五幺六三 滑行经过 MIKE 两 DELTA 等待 DELTA 幺六
tower evening AIR MACAU one three eight localizer runway three six right	塔台 晚安 澳门航空 幺三八 ILS 跑道 三六 右
land	着陆
right vacate AIR MACAU one three	向右滑行 澳门航空 幺三
check	检查
D H hold short of runway	D H 等待跑道
go ahead THAI six six	请讲 泰航 六六
H four AIR JUNEYAO one one zero two	H 四 吉祥航空 幺幺洞两
apron FINNAIR eight seven heavy holding short WHISKEY one on TANGO four	芬兰航空 八拐 重型 在 TANGO 四 等待 WHISKEY 幺
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
CATHAY three six seven apron STAY with me	国泰航空 三六拐 机坪 待命
er roger ASIANA three six four now YOU contact one two one decimal nine seven	收到 亚航 三六四 现在你联系 幺两幺点九拐
D H seven hold short of ILS	D H 拐 等待 ILS
zero nine	零九
one zero one four continue approach three six right AIR MACAU one three eight	幺洞幺四 继续接近 跑道 三六 右 澳门航空 幺三八
JAPAN AIR eight one heavy surface wind zero six zero degrees one one meters per second one seven meters per second runway three six right clear to land	日本航空 八幺 重型 表面风速 六洞° 每秒 幺幺 米 每秒 幺拐 米 跑道 三六 右 清晰着陆
AIR JUNEYAO one eight eight one number one	东航 幺八八幺 第一
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
<ENGINE>	<ENGINE>
NAV	导航
AIR JUNEYAO one two zero nine pushback and start up approved runway three six left	东航 幺两洞九 推回和启动获批 跑道三六左转
er roger	收到
land	着陆
ALL NIPPON eight four two eight radar contact	全日空 八四两八 雷达接触
check	检查
LOC	LOC
land	着陆
tower good evening CHINA EASTERN five three zero eight heavy ILS approach runway three six right	塔台 晚安 东航 五三洞八 重型 ILS 接近 跑道 三六 右
airport	机场
apron AIR JUNEYAO one two zero nine request taxi	机坪 东航 幺两洞九 请求滑行
er one two one seven five CHINA EASTERN five one two three good day	幺两幺点拐五 东航 五幺两三 日安
JAPAN eight zero contact apron one two one decimal six	日本航空 八洞 联系机坪 幺两幺点六
one seven established ILS runway one seven	一七 确立 ILS 跑道一七
NAV	导航
landing	着陆
one one eight decimal one	幺幺八点幺
LUFTHANSA seven two seven contact tower one one eight decimal four	汉莎航空 拐两拐 联系塔台 幺幺八点四
LIMA one five stand three one six AIR HONGKONG seven eight	LIMA 幺五 停机位 三幺六 香港航空 拐八
check	检查
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
NAV	导航
NAV	导航
NAV	导航
weather received MIKE PAPA one zero	天气收到了 MIKE PAPA 幺洞
JAPAN AIR eight two contact SHANGHAI approach one two six decimal six five good day	日本航空 八两 联系上海进近 幺两六点六五 日安
taxi via BRAVO holding short of HOTEL six ASIANA three two five	通过 BRAVO 等待 HOTEL 六 亚航 三两五
check	检查
CHINA EASTERN five three zero eight approach runway three six	东航 五三洞八 接近跑道 三六
ROMEO LIMA ALPHA SIERRA five zero one turn right ALPHA two vacate runway	罗密欧 利马 阿尔法 五洞幺 向右转 ALPHA 两 滑行
CHINA EASTERN five three zero eight turn left vacate	东航 五三洞八 左转 滑行
landing	着陆
check	检查
ALT STAR	ALT STAR
CATHAY three four nine HOTEL four cross runway three six right	国泰航空 三四九 HOTEL 四 穿越跑道 三六 右
check	检查
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
HONGQIAO tower good evening EVA seven seven one heavy on BRAVO hold short HOTEL six	虹桥塔台 晚安 EVA 拐拐幺 重型 在 BRAVO 等待 HOTEL 六
continue approach runway three six right QNH one zero one four AIR JUNEYAO one two one two	继续接近 跑道 三六 右 QNH 幺洞幺四 吉祥航空 幺两幺两
SKY ANKOR nine three two approach runway QNH	天空 九三两 接近跑道 QNH
STAR	STAR
check	检查
BIG BIRD eight eight eight contact one one nine decimal nine good day	BIG BIRD 八八八 联系 幺幺九点九 日安
<FIVE>	<FIVE>
ground hello GOLF ALPHA one two five	地面 你好 GOLF ALPHA 幺两五
NEW ZEALAND two eight eight apron STAY with	新西兰航空 两八八 机坪 待命
runway three six clear for take off	跑道 三六 清晰起飞
VIETNAM five three one now contact apron one two one decimal six	越南航空 五三幺 现在联系机坪 幺两幺点六
apron control 浣犲ソ SINGAPORE eight three three	机坪控制 新加坡 八三三
AIR JUNEYAO one zero eight eight HONGQIAO apron taxi via DELTA YANKEE one follow follow-me parking bay two two six	吉祥航空 幺洞八八 虹桥 机坪 滑行经过 DELTA Y幺 跟随引导车 停机位 两两六
MIKE five hold short DELTA CHINA EASTERN five one one five	MIKE 五 等待 DELTA 东航 五幺幺五
land	着陆
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
NAV	导航
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
apron HAINAN seven six zero six ready for taxi	机坪 海南 拐六洞六 准备滑行
er standing by CATHAY three six five	待命 国泰航空 三六五
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
ASIANA three six four heavy request pushback and start up stand six	亚航 三六四 重型 请求推回和启动 停机位 六
<FIVE>	<FIVE>
zero six	零六
zero one three CHINA EASTERN five one six two thanks	洞幺三 东航 五幺六两 谢谢
DELTA hold short DELTA six AIR JUNEYAO one two one zero	DELTA 等待 DELTA 六 吉祥航空 幺两幺洞
apron THAI six six three how about take off runway three four left	机坪 泰航 六六三 跑道 三四 左转 怎么样
NAV	导航
JUNEYAO one zero one two contact DALIAN approach one two one decimal nine	吉祥航空 幺洞幺两 联系大连进近 幺两幺点九
ground good evening AIR JUNEYAO one zero eight eight hold short DELTA	地面 晚安 吉祥航空 幺洞八八 等待 DELTA
copy zero nine four zero MALAYSIA three eight nine	确认 洞九:四洞 马来西亚航空 三八九
AIR SPRING six eight zero three pushback start up approved runway three four left follow GREEN procedure	春秋航空 六八洞三 推回和启动获批 跑道 三四 左 遵循绿色程序
taxi DELTA hold short DELTA one six AIR JUNEYAO one zero eight five	滑行 DELTA 等待 DELTA 幺六 吉祥航空 幺洞八五
EVA seven seven one contact departure one two six decimal six five	EVA 拐拐幺 联系离场 幺两六点六五
er BRAVO two seven now YOU contact one two one decimal nine seven	确认 BRAVO 两拐 现在你联系 幺两幺点九拐五
<FIVE>	<FIVE>
NAV	导航
AIR MACAU one	澳门航空 幺
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
SKY LEGEND nine seven two two contact ground one two one decimal eight	天空传奇 九拐两两 联系地面 幺两幺点八
contact tower eighteen four ASIANA nine eight	联系塔台 幺幺八点四 亚航 九八
STAR	STAR
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
good day	日安
er SINGAPORE eight three three apron	新加坡 八三三 机坪
roger INDONESIA eight nine five	收到 印尼航空 八九五
landing	着陆
one one one six taxi via taxi via route NORTH	幺幺幺六 滑行 通过 北部路线
we just waiting on the CARGO we have we are ready for push and start CATHAY three seven seven	我们只是在等货物 我们准备好推回和启动 国泰 三拐拐
D H seven hold short of ILS	D H 拐 等待 ILS
descend and maintain present heading VIETJET two eight two	下降并保持当前航向 越捷航空 两八两
NAV	导航
CHINA EASTERN five three zero eight HANGZHOU tower continue approach runway three six right QNH one zero one three	东航 五三洞八 杭州塔台 继续接近 跑道 三六 右 QNH 幺洞幺三
MIKE seven ZULU SIERRA ZULU HOTEL seven line up and wait runway three six left	MIKE 拐 ZULU SIERRA ZULU HOTEL 拐 排队���候跑道 三六 左
er apron HAINAN seven six zero six tug ready	机坪 海南 拐六洞六 拖车准备好了
DRAGON nine five four	龙 九五四
VIETNAM five two three STAY with me I will call	越南航空 五两三 待命 我会联系
AIR JUNEYAO one zero one zero turn left vacate taxi via BRAVO hold short of HOTEL two	吉祥航空 幺洞幺洞 左转 滑行通过 BRAVO 等待 HOTEL 两
check	检查
runway three six right clear for take off CHINA EASTERN five one four four	跑道 三六 右 清晰起飞 东航 五幺四四
land	着陆
<ONE-HUNDRED>	<ONE-HUNDRED>
five two three five CAPITAL JET	五两三五 首都航空
AIR JUNEYAO one two one two contact tower one one eight decimal six five good day	吉祥航空 幺两幺两 联系塔台 幺幺八点六五 日安
zero	零
I see OK BAUHINIA two three	我明白了 BAUHINIA 两三
AIR JUNEYAO one two one seven contact tower one one eight decimal six five good day	吉祥航空 幺两幺拐 联系塔台 幺幺八点六五 日安
CHINA EASTERN five one one five HONGQIAO apron roger report tow car ready	东航 五幺幺五 虹桥 机坪 收到 报告拖车准备好
tower good morning AIR SPRING er good afternoon AIR SPRING eight nine eight zero HOTEL four hold short runway	塔台 早安 春秋航空 下午好 春秋航空 八九八洞 HOTEL 四 等待跑道
land	着陆
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
heading	航向
NAV	导航
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
one two one nine CHINA EASTERN five one one three good day	幺两幺点九 日安 东航 五幺幺三
